Network,Run,Average Score,Clustering,Crossover,Gini,Initial Clustering,Initial Path Length,Path Length,Step,NumAgents
Forest Agta,99,10242,0.675834786,1,0.17488477,0,0,2.032656023,44,53
Forest Agta,100,10304,0.675834786,1,0.031751729,0,0,2.032656023,536,53
Forest Agta,101,10304,0.675834786,1,0.031751729,0,0,2.032656023,741,53
Forest Agta,102,13266,0.675834786,1,0.224532,0,0,2.032656023,25,53
Forest Agta,103,14662,0.675834786,1,0.254612746,0,0,2.032656023,159,53
Forest Agta,104,12277,0.675834786,1,0.167132589,0,0,2.032656023,37,53
Forest Agta,105,14499,0.675834786,1,0.178646022,0,0,2.032656023,40,53
Forest Agta,106,12313,0.675834786,1,0.212053835,0,0,2.032656023,13,53
Forest Agta,107,10565,0.675834786,1,0.066842279,0,0,2.032656023,57,53
Forest Agta,108,14407,0.675834786,1,0.194779529,0,0,2.032656023,23,53
Forest Agta,109,10170,0.675834786,1,0.103148365,0,0,2.032656023,38,53
Forest Agta,110,15306,0.675834786,1,0.231094478,0,0,2.032656023,264,53
Forest Agta,111,10006,0.675834786,1,0.169909375,0,0,2.032656023,15,53
Forest Agta,112,13024,0.675834786,1,0.155156228,0,0,2.032656023,695,53
Forest Agta,113,10474,0.675834786,1,0.045935848,0,0,2.032656023,74,53
Forest Agta,114,10763,0.675834786,1,0.286915867,0,0,2.032656023,6,53
Forest Agta,115,11427,0.675834786,1,0.140266928,0,0,2.032656023,139,53
Forest Agta,116,11506,0.675834786,1,0.133085609,0,0,2.032656023,100,53
Forest Agta,117,11455,0.675834786,1,0.238804839,0,0,2.032656023,10,53
Forest Agta,118,13829,0.675834786,1,0.233307911,0,0,2.032656023,15,53
Forest Agta,119,10055,0.675834786,1,0.024296558,0,0,2.032656023,59,53
Forest Agta,120,14044,0.675834786,1,0.158961324,0,0,2.032656023,168,53
Forest Agta,121,9962,0.675834786,1,0.272166307,0,0,2.032656023,10,53
Forest Agta,122,14918,0.675834786,1,0.166221887,0,0,2.032656023,54,53
Forest Agta,123,10644,0.675834786,1,0.059064191,0,0,2.032656023,287,53
Forest Agta,124,9988,0.675834786,1,0.062006483,0,0,2.032656023,72,53
Forest Agta,125,13297,0.675834786,1,0.178916794,0,0,2.032656023,14,53
Forest Agta,126,9976,0.675834786,1,0.031959722,0,0,2.032656023,247,53
Forest Agta,127,11858,0.675834786,1,0.165295621,0,0,2.032656023,50,53
Forest Agta,128,13716,0.675834786,1,0.172444246,0,0,2.032656023,45,53
Forest Agta,129,10668,0.675834786,1,0.112174657,0,0,2.032656023,48,53
Forest Agta,130,13429,0.675834786,1,0.248884068,0,0,2.032656023,7,53
Forest Agta,131,8771,0.675834786,1,0.17234325,0,0,2.032656023,15,53
Forest Agta,132,11324,0.675834786,1,0.101970768,0,0,2.032656023,281,53
Forest Agta,133,15245,0.675834786,1,0.252811624,0,0,2.032656023,153,53
Forest Agta,134,10565,0.675834786,1,0.066842279,0,0,2.032656023,129,53
Forest Agta,135,13181,0.675834786,1,0.21315988,0,0,2.032656023,12,53
Forest Agta,136,12987,0.675834786,1,0.190111737,0,0,2.032656023,94,53
Forest Agta,137,11075,0.675834786,1,0.100256399,0,0,2.032656023,99,53
Forest Agta,138,11002,0.675834786,1,0.089067854,0,0,2.032656023,117,53
Forest Agta,139,10304,0.675834786,1,0.031751729,0,0,2.032656023,330,53
Forest Agta,140,10255,0.675834786,1,0.067578632,0,0,2.032656023,38,53
Forest Agta,141,10255,0.675834786,1,0.067578632,0,0,2.032656023,61,53
Forest Agta,142,11154,0.675834786,1,0.092597291,0,0,2.032656023,466,53
Forest Agta,143,10644,0.675834786,1,0.059064191,0,0,2.032656023,30,53
Forest Agta,144,13534,0.675834786,1,0.159263462,0,0,2.032656023,357,53
Forest Agta,145,10134,0.675834786,1,0.016458699,0,0,2.032656023,427,53
Forest Agta,146,10814,0.675834786,1,0.071186547,0,0,2.032656023,99,53
Forest Agta,147,13552,0.675834786,1,0.178816467,0,0,2.032656023,793,53
Forest Agta,148,14068,0.675834786,1,0.18082521,0,0,2.032656023,70,53
Forest Agta,149,9581,0.675834786,1,0.067503884,0,0,2.032656023,85,53
Forest Agta,150,11664,0.675834786,1,0.118248052,0,0,2.032656023,177,53
Forest Agta,151,10012,0.675834786,1,0.116388636,0,0,2.032656023,21,53
Forest Agta,152,11364,0.675834786,1,0.25824683,0,0,2.032656023,7,53
